year,country,cell_subscriptions,internet_users,unemployment,population,bank_branches,tourism_arrivals,region,income_group
2010,Afghanistan,45.77817474,4,NA,27962207,2.473339327,NA,South Asia,Low income
2011,Afghanistan,60.32631999,5,8.199999809,28809167,2.309390252,NA,South Asia,Low income
2012,Afghanistan,65.45219346,5.454545455,NA,29726803,2.24445419,NA,South Asia,Low income
2013,Afghanistan,70.66135885,5.9,NA,30682500,2.391559634,NA,South Asia,Low income
2014,Afghanistan,74.88284241,6.39,NA,31627506,2.465221213,NA,South Asia,Low income
2010,Albania,85.468247,45,14.19999981,2913021,24.24338211,2191000,Europe & Central Asia,Upper middle income
2011,Albania,98.29153459,49,14,2904780,24.29838684,2469000,Europe & Central Asia,Upper middle income
2012,Albania,110.6865316,54.65595904,13.39999962,2900489,24.27876289,3156000,Europe & Central Asia,Upper middle income
2013,Albania,116.1572081,57.2,15.60000038,2897366,23.69911564,2857000,Europe & Central Asia,Upper middle income
2014,Albania,105.4699657,60.1,17.5,2894475,22.24169025,NA,Europe & Central Asia,Upper middle income
2010,Algeria,88.44487548,12.5,10,36036159,4.897939827,2070000,Middle East & North Africa,Upper middle income
2011,Algeria,94.31443964,14,10,36717132,5.013246116,2395000,Middle East & North Africa,Upper middle income
2012,Algeria,97.52089467,15.22802676,11,37439427,5.058983035,2634000,Middle East & North Africa,Upper middle income
2013,Algeria,100.7877205,16.5,9.800000191,38186135,5.064044269,NA,Middle East & North Africa,Upper middle income
2014,Algeria,93.31075022,18.09,10.60000038,38934334,5.064181276,NA,Middle East & North Africa,Upper middle income
2010,American Samoa,NA,NA,9.199999809,55636,NA,22600,East Asia & Pacific,Upper middle income
2011,American Samoa,NA,NA,NA,55316,NA,21900,East Asia & Pacific,Upper middle income
2012,American Samoa,NA,NA,NA,55227,NA,21600,East Asia & Pacific,Upper middle income
2013,American Samoa,NA,NA,NA,55302,NA,NA,East Asia & Pacific,Upper middle income
2014,American Samoa,NA,NA,NA,55434,NA,NA,East Asia & Pacific,Upper middle income
